PCM_type_Wall,Thickness_Wall,Melting_Point_Wall,PCM_type_Roof,Thickness_Roof,Melting_Point_Roof,Roof_PCM_Position,wall_PCM_Position,IDD,EUI,TL,city,pareto,TL_phase
0.0,2.0,4.0,1.0,3.0,0.0,1.0,0.0,5.036313,47.024,1.0,Ardebial,False,1.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.102919,47.669,0.0,Ardebial,False,0.0
1.0,0.0,3.0,0.0,1.0,4.0,1.0,2.0,5.077357,47.619,1.0,Ardebial,False,1.0
0.0,2.0,3.0,0.0,2.0,3.0,0.0,1.0,5.084524,47.123,0.0,Ardebial,False,0.0
0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,5.095901,47.52,0.0,Ardebial,False,0.0
1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,5.06189,47.421,0.0,Ardebial,False,0.0
1.0,1.0,3.0,0.0,1.0,2.0,0.0,1.0,5.084539,47.421,0.0,Ardebial,False,0.0
1.0,1.0,2.0,0.0,1.0,2.0,2.0,1.0,5.057681,47.272,0.0,Ardebial,False,0.0
0.0,2.0,2.0,0.0,1.0,2.0,1.0,2.0,5.033645,46.974,0.0,Ardebial,False,0.0
1.0,3.0,0.0,1.0,2.0,4.0,0.0,1.0,4.951897,45.833,0.0,Ardebial,False,0.0
0.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,5.041276,47.024,0.0,Ardebial,False,0.0
1.0,1.0,3.0,0.0,1.0,1.0,1.0,2.0,5.060054,47.321,0.0,Ardebial,False,0.0
0.0,1.0,2.0,0.0,3.0,4.0,0.0,0.0,5.12537,47.817,1.0,Ardebial,True,1.0
1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,5.054168,47.272,0.0,Ardebial,False,0.0
1.0,2.0,1.0,1.0,3.0,4.0,1.0,2.0,4.853528,45.585,0.0,Ardebial,False,0.0
1.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,5.115446,47.569,0.0,Ardebial,False,0.0
1.0,1.0,4.0,0.0,2.0,3.0,1.0,0.0,5.07557,47.52,1.0,Ardebial,False,1.0
1.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,5.009467,46.875,0.0,Ardebial,False,0.0
1.0,1.0,3.0,1.0,1.0,0.0,1.0,2.0,5.054155,47.272,0.0,Ardebial,False,0.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.072433,47.52,0.0,Ardebial,False,0.0
1.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,5.08247,47.669,1.0,Ardebial,False,1.0
